,A1,A2,E1,E2
61,-0.6034756745764782,3.653167975753151e-12,1.5931689892435865,-8.688868305777788e-12
62,-0.579699210960162,-6.501974219729289e-12,1.5351290640624875,1.6264309023013657e-11
63,-0.5629525397683749,1.784607550129652e-11,1.4940134741357918,-4.3615282690675375e-11
64,-0.5557658108278702,1.6488303239948738e-11,1.476309805859957,-4.5545131373895086e-11
65,-0.533558525136129,1.8410626417560935e-11,1.4213827073163008,-3.556402197084177e-11
66,-0.5179325722264865,1.078367830252427e-11,1.3825339683271116,-5.212478608937046e-11
67,-0.5112306776832963,1.0587027647613029e-11,1.365821762262864,-5.116125904263694e-11
68,-0.4905361294153857,1.0008160072218744e-11,1.3140283351456727,-4.8413833300144295e-11
69,-0.4759877186315192,9.598998081435779e-12,1.2774475718957234,-4.6400796731854054e-11
70,-0.46975127097637487,9.426270318612897e-12,1.2617239096037316,-4.556584716098188e-11
71,-0.45050632946808866,8.900674033490515e-12,1.2130423728374522,-4.3025158233129355e-11
72,-0.4369881399661882,8.538167209198215e-12,1.1787027753037227,-4.127283294436632e-11
73,-0.431196115370129,8.403328404479786e-12,1.1639532741691312,-4.061265956347738e-11
74,-0.41333312786064375,7.882529728386825e-12,1.118328387801456,-3.812309460412893e-11
75,-0.40079513752313056,7.683634717114276e-12,1.0861813718163427,-3.712179465793824e-11
76,-0.39542547430250236,7.537502564535824e-12,1.0723827546144529,-3.642113595538234e-11
77,-0.378874036497489,7.1387960623578105e-12,1.0297334812396626,-3.447991824791017e-11
78,-0.367264696950698,6.795834722238862e-12,0.9997138286642665,-3.2858837364508314e-11
79,-0.36229478173847524,6.672548330318915e-12,0.9868360651941762,-3.227220307809684e-11
80,-0.34698317225823255,6.304301922939748e-12,0.9470619466261336,-3.0455064642701375e-11
81,-0.33625035716574503,6.044794645866956e-12,0.9190920753321465,-2.9227321419499475e-11
82,-0.33165741630052786,5.936022731620152e-12,0.907100159320636,-2.870139554680286e-11
83,-0.3175137476784746,5.605038069970088e-12,0.8700865989100889,-2.7101043863852586e-11
84,-0.30760551007476855,5.376755045914545e-12,0.8440800921294235,-2.5997269812769974e-11
85,-0.30336692121923015,5.2724826439927116e-12,0.8329355078641232,-2.5509265710422337e-11
86,-0.29032005258203475,4.999410549021263e-12,0.7985581224639738,-2.416571959979415e-11
87,-0.2811852218719142,4.746978166518947e-12,0.7744226290553018,-2.3133123704313006e-11
88,-0.27727875871212243,4.6679063517860824e-12,0.7640845546239515,-2.2714501031985907e-11
89,-0.2652590087590923,4.390231964224282e-12,0.7322127373219973,-2.1454434235703107e-11
90,-0.2568476535718681,4.253531439052731e-12,0.7098523388948069,-2.0564995308756488e-11
91,-0.2532516745826423,4.175605159794704e-12,0.7002786263357111,-2.017880053835687e-11
92,-0.24219136785704629,3.949802956276043e-12,0.6707784412456801,-1.9121971113707583e-11
93,-0.23445514711405485,3.7915041537823404e-12,0.650095568559597,-1.8323991473131146e-11
94,-0.23114873776475747,3.730163767516478e-12,0.641243535536662,-1.8043153946604507e-11
95,-0.22098261235659214,3.5138402398998836e-12,0.6139800487690811,-1.6953297578273087e-11
96,-0.21387503360715546,3.4549056514333923e-12,0.5948770181209361,-1.6770660535241275e-11
97,0.0,0.0,0.0,0.0
98,0.2596329053835851,-0.0053139463198000276,-0.5169008987268022,0.020465465146206997
99,0.8490448675121969,-0.0771599070819838,-1.6903560603307892,0.2971639708114957
100,1.0983177012399328,-0.1679903660320805,-2.186631182282992,0.6469769873508013
101,1.1704805331012973,-0.2145582543221427,-2.3302995381436857,0.8263227009461943
102,1.2861476668479928,-0.3783245958059295,-2.56058023118028,1.4570318109104416
103,1.2863850427424703,-0.5057621252824324,-2.5610528207889622,1.9478286991102767
104,1.2701210453260598,-0.5620091987299589,-2.5286729694408274,2.1644516102088707
105,1.172066775829858,-0.7366672599121278,-2.3334575750297106,2.8371077208491795
106,1.06892868180425,-0.8571241877792513,-2.1281208384706582,3.30102039713993
107,1.0250511353722072,-0.9028320644495864,-2.043858193210591,3.4799657952771765
108,0.8346578136551741,-1.0631170016912481,-1.6555260314657338,4.088970872481365
109,0.7485234562716587,-1.1227536196660166,-1.508893579232011,4.339121935407027
110,0.7359956737682609,-1.1273398407019677,-1.5078045861661125,4.377283048787852
111,0.6953825347182591,-1.142032669671538,-1.4960740825296308,4.498780874456531
112,0.6651144651873688,-1.1528474743878703,-1.480338767767612,4.5875604658549625
113,0.6517135220936623,-1.1576074871580582,-1.4717238196569797,4.626482176019753
114,0.6087820300951026,-1.1727700462763841,-1.438166241726255,4.749912346700442
115,0.5772238116847707,-1.1838535896154738,-1.408356533126251,4.839667451534261
116,0.5633550469502856,-1.1887130105588002,-1.3940272538724852,4.878908860762281
117,0.5192994602042884,-1.2041216463472877,-1.3440326136645557,5.0029466884589135
118,0.4872390192267609,-1.2153221927254014,-1.3037540407721109,5.092779521372926
119,0.4732272151011688,-1.2202173756054377,-1.285209847301271,5.131964300226325
120,0.42900103913860216,-1.2356810042608675,-1.2232317949540874,5.255480931517665
121,0.3970642500803834,-1.2468691849065128,-1.175456551258759,5.344628173994517
122,0.38316653164222136,-1.251745937566537,-1.1539316358604297,5.383436824611911
123,0.3395212867571512,-1.2671021437855872,-1.0836289106443053,5.5054757209395735
124,0.3081982674985826,-1.2781682694822265,-1.0307920314046137,5.59329232066547
125,0.294615133659361,-1.2829807158257365,-1.00729576993917,5.631455316133286
126,0.25213349018485187,-1.2980922934168253,-0.9316538139445072,5.751211399173754
127,0.22180106166716326,-1.3089439718353488,-0.875735824870754,5.83715620682852
128,0.2086858031351021,-1.3136535428681255,-0.8510874901792936,5.874447909107132
129,0.16780985605367416,-1.3284054279694273,-0.7725228819412007,5.991249074498361
130,0.1387506930823908,-1.338965451673112,-0.715120734578665,6.074872113335366
131,0.1262174191208364,-1.3435399912330481,-0.6899792803623579,6.1111053830177715
132,0.08727277176467566,-1.3578365444020597,-0.6104293006264536,6.224396118574505
133,0.05969170206811378,-1.3680410193636805,-0.5528171741605695,6.3053273048226055
134,0.047822168551556965,-1.3724539917566685,-0.5277067550010538,6.3403487256093625
135,0.011038406474944943,-1.3862165900413537,-0.4487060955918212,6.449675599391436
136,-0.014923745489424288,-1.3960132778532035,-0.39188743868764925,6.527614751670233
137,-0.026074339776998738,-1.400243066029433,-0.3672192449519148,6.561300400988286
138,-0.060546280923938066,-1.413407970439747,-0.2899656088057229,6.66629921058343
139,-0.0848009617312266,-1.4227548203690192,-0.234717615247295,6.741007204453081
140,-0.09519906587113074,-1.4267841045334537,-0.21080852577585568,6.7732589092449595
141,-0.1272722019134018,-1.4393005721643106,-0.13621863684925456,6.873643306750208
